
   t+104.4min   IKA -> THR  ( 35.4 km, 4 pax, SoC after: 33.7%)
   t+122.7min   THR -> IKA  ( 35.4 km, 4 pax, SoC after: 15.0%)
   t+134.3min   IKA -> THR  ( 35.4 km, 4 pax, SoC after: 33.7%)
   t+152.6min   THR -> IKA  ( 35.4 km, 4 pax, SoC after: 15.0%)
   t+164.2min   IKA -> THR  ( 35.4 km, 4 pax, SoC after: 33.7%)
   t+182.5min   THR -> IKA  ( 35.4 km, 4 pax, SoC after: 15.0%)
   t+194.0min   IKA -> THR  ( 35.4 km, 4 pax, SoC after: 33.7%)
   t+212.3min   THR -> IKA  ( 35.4 km, 4 pax, SoC after: 15.0%)
   t+223.9min   IKA -> THR  ( 35.4 km, 4 pax, SoC after: 15.0%)
   charge stops: [(4, 4.9), (6, 6.7), (8, 6.7), (10, 6.7), (12, 6.7), (14, 6.7), (16, 3.4)]

AT-06 [4seat] — 16 legs, 607.6 km, 60 pax carried
   t+  0.0min   IKA -> CHT  ( 38.8 km, 4 pax, SoC after: 79.5%)
   t+ 12.2min   CHT -> IKA  ( 38.8 km, 4 pax, SoC after: 59.0%)
   t+ 24.5min   IKA -> CHT  ( 38.8 km, 4 pax, SoC after: 38.5%)
   t+ 36.7min   CHT -> IKA  ( 38.8 km, 4 pax, SoC after: 18.0%)
   t+ 48.9min   IKA -> CHT  ( 38.8 km, 2 pax, SoC after: 35.5%)
   t+ 68.0min   CHT -> IKA  ( 38.8 km, 4 pax, SoC after: 15.0%)
   t+ 80.2min   IKA -> CHT  ( 38.8 km, 4 pax, SoC after: 35.5%)
   t+ 99.8min   CHT -> IKA  ( 38.8 km, 4 pax, SoC after: 15.0%)
   t+112.1min   IKA -> CHT  ( 38.8 km, 4 pax, SoC after: 35.5%)
   t+131.7min   CHT -> IKA  ( 38.8 km, 2 pax, SoC after: 15.0%)
   t+144.0min   IKA -> CHT  ( 38.8 km, 4 pax, SoC after: 35.5%)
   t+163.6min   CHT -> IKA  ( 38.8 km, 4 pax, SoC after: 15.0%)
   t+175.8min   IKA -> THR  ( 35.4 km, 4 pax, SoC after: 33.7%)
   t+194.1min   THR -> IKA  ( 35.4 km, 4 pax, SoC after: 15.0%)
   t+205.7min   IKA -> THR  ( 35.4 km, 4 pax, SoC after: 33.7%)
   t+224.0min   THR -> IKA  ( 35.4 km, 4 pax, SoC after: 15.0%)
   charge stops: [(4, 6.8), (6, 7.4), (8, 7.4), (10, 7.4), (12, 6.7), (14, 6.7)]

AT-07 [4seat] — 15 legs, 531.0 km, 60 pax carried
   t+  0.0min   THR -> IKA  ( 35.4 km, 4 pax, SoC after: 81.3%)
   t+ 11.6min   IKA -> THR  ( 35.4 km, 4 pax, SoC after: 62.6%)
   t+ 23.2min   THR -> IKA  ( 35.4 km, 4 pax, SoC after: 43.9%)
   t+ 34.8min   IKA -> THR  ( 35.4 km, 4 pax, SoC after: 33.7%)
   t+ 47.9min   THR -> IKA  ( 35.4 km, 4 pax, SoC after: 15.0%)
   t+ 59.5min   IKA -> THR  ( 35.4 km, 4 pax, SoC after: 33.7%)
   t+ 77.8min   THR -> IKA  ( 35.4 km, 4 pax, SoC after: 15.0%)
   t+ 89.4min   IKA -> THR  ( 35.4 km, 4 pax, SoC after: 33.7%)
   t+107.7min   THR -> IKA  ( 35.4 km, 4 pax, SoC after: 15.0%)
   t+119.3min   IKA -> THR  ( 35.4 km, 4 pax, SoC after: 33.7%)
