
   t+  0.0min   THR -> IKA  ( 35.4 km, 4 pax, SoC after: 81.3%)
   t+ 11.6min   IKA -> CHT  ( 38.8 km, 2 pax, SoC after: 60.8%)
   t+ 23.8min   CHT -> IKA  ( 38.8 km, 4 pax, SoC after: 40.3%)
   t+ 36.1min   IKA -> CHT  ( 38.8 km, 4 pax, SoC after: 35.5%)
   t+ 51.1min   CHT -> IKA  ( 38.8 km, 4 pax, SoC after: 15.0%)
   t+ 63.3min   IKA -> CHT  ( 38.8 km, 4 pax, SoC after: 35.5%)
   t+ 83.0min   CHT -> IKA  ( 38.8 km, 4 pax, SoC after: 15.0%)
   t+ 95.2min   IKA -> CHT  ( 38.8 km, 4 pax, SoC after: 35.5%)
   t+114.8min   CHT -> IKA  ( 38.8 km, 4 pax, SoC after: 15.0%)
   t+127.1min   IKA -> CHT  ( 38.8 km, 4 pax, SoC after: 35.5%)
   t+146.7min   CHT -> IKA  ( 38.8 km, 4 pax, SoC after: 15.0%)
   t+159.0min   IKA -> CHT  ( 38.8 km, 4 pax, SoC after: 35.5%)
   t+178.6min   CHT -> IKA  ( 38.8 km, 2 pax, SoC after: 15.0%)
   t+190.8min   IKA -> CHT  ( 38.8 km, 4 pax, SoC after: 35.5%)
   t+210.5min   CHT -> IKA  ( 38.8 km, 4 pax, SoC after: 15.0%)
   t+222.7min   IKA -> THR  ( 35.4 km, 4 pax, SoC after: 15.0%)
   mid-cycle charge stops: [(3, 2.8), (5, 7.4), (7, 7.4), (9, 7.4), (11, 7.4), (13, 7.4), (15, 3.4)]

AT-06 [4seat] — 16 legs, 561.1 km, 60 pax carried  [closed-loop, NOT SoC-periodic]
   t+  0.0min   CHT -> THR  ( 14.0 km, 4 pax, SoC after: 92.6%)
   t+  7.6min   THR -> CHT  ( 14.0 km, 4 pax, SoC after: 85.2%)
   t+ 15.2min   CHT -> IKA  ( 38.8 km, 4 pax, SoC after: 64.7%)
   t+ 27.5min   IKA -> KRJ  ( 50.7 km, 4 pax, SoC after: 41.8%)
   t+ 42.6min   KRJ -> IKA  ( 50.7 km, 4 pax, SoC after: 15.0%)
   t+ 57.1min   IKA -> THR  ( 35.4 km, 4 pax, SoC after: 33.7%)
   t+ 75.4min   THR -> IKA  ( 35.4 km, 4 pax, SoC after: 15.0%)
   t+ 87.0min   IKA -> THR  ( 35.4 km, 4 pax, SoC after: 33.7%)
   t+105.3min   THR -> IKA  ( 35.4 km, 4 pax, SoC after: 15.0%)
   t+116.8min   IKA -> THR  ( 35.4 km, 4 pax, SoC after: 33.7%)
   t+135.1min   THR -> IKA  ( 35.4 km, 4 pax, SoC after: 15.0%)
   t+146.7min   IKA -> THR  ( 35.4 km, 4 pax, SoC after: 33.7%)
   t+165.0min   THR -> IKA  ( 35.4 km, 4 pax, SoC after: 15.0%)
   t+176.6min   IKA -> THR  ( 35.4 km, 4 pax, SoC after: 33.7%)
   t+194.9min   THR -> IKA  ( 35.4 km, 4 pax, SoC after: 15.0%)
   t+206.5min   IKA -> CHT  ( 38.8 km, 0 pax, SoC after: 15.0%)
   mid-cycle charge stops: [(3, 0.7), (5, 6.7), (7, 6.7), (9, 6.7), (11, 6.7), (13, 6.7), (15, 3.7)]

AT-07 [4seat] — 15 legs, 630.3 km, 56 pax carried  [closed-loop, NOT SoC-periodic]
   t+  0.0min   THR -> IKA  ( 35.4 km, 4 pax, SoC after: 81.3%)
   t+ 11.6min   IKA -> TAJ  ( 50.8 km, 4 pax, SoC after: 54.5%)
   t+ 26.1min   TAJ -> THR  ( 15.5 km, 4 pax, SoC after: 46.3%)
   t+ 34.0min   THR -> CHT  ( 14.0 km, 4 pax, SoC after: 38.9%)
   t+ 41.6min   CHT -> TAJ  ( 22.1 km, 4 pax, SoC after: 27.2%)
   t+ 50.7min   TAJ -> IKA  ( 50.8 km, 4 pax, SoC after: 15.0%)
   t+ 67.8min   IKA -> TAJ  ( 50.8 km, 4 pax, SoC after: 15.0%)
   t+ 87.0min   TAJ -> IKA  ( 50.8 km, 4 pax, SoC after: 15.0%)
